FISH,DATETIME
1,2023-9-22 19:27:55
1,2023-9-22 19:28:04
2,2023-9-22 19:28:09
1,2023-9-22 19:28:14
1,2023-9-22 19:28:19
1,2023-9-22 19:28:24
1,2023-9-22 19:28:29
1,2023-9-22 19:28:34
1,2023-9-22 19:28:39
1,2023-9-22 19:28:44
1,2023-9-22 19:28:49
1,2023-9-22 19:28:54
2,2023-9-22 19:28:59
1,2023-9-22 19:29:04
1,2023-9-22 19:29:09
1,2023-9-22 19:29:14
1,2023-9-22 19:29:24
2,2023-9-22 19:29:29
1,2023-9-22 19:29:49
40,2023-9-23 17:35:01
38,2023-9-23 17:35:06
5,2023-9-23 17:38:12
5,2023-9-23 17:38:17
5,2023-9-23 17:38:24
5,2023-9-23 17:38:29
5,2023-9-23 17:38:34
5,2023-9-23 17:38:39
5,2023-9-23 17:38:44
5,2023-9-23 17:38:50
5,2023-9-23 17:38:54
5,2023-9-23 17:39:00
5,2023-9-23 17:39:04
9,2023-9-23 17:39:09
9,2023-9-23 17:39:14
9,2023-9-23 17:39:19
10,2023-9-23 17:39:24
10,2023-9-23 17:39:29
9,2023-9-23 17:39:34
9,2023-9-23 17:39:39
9,2023-9-23 17:39:44
10,2023-9-23 17:39:49
9,2023-9-23 17:39:54
9,2023-9-23 17:39:59
9,2023-9-23 17:40:04
1,2023-9-23 17:40:09
9,2023-9-23 17:40:14
9,2023-9-23 17:40:19
9,2023-9-23 17:40:24
10,2023-9-23 17:40:29
9,2023-9-23 17:40:34
10,2023-9-23 17:40:39
9,2023-9-23 17:40:45
9,2023-9-23 17:40:49
9,2023-9-23 17:40:54
9,2023-9-23 17:40:59
9,2023-9-23 17:41:04
9,2023-9-23 17:41:09
9,2023-9-23 17:41:14
9,2023-9-23 17:41:19
9,2023-9-23 17:41:24
8,2023-9-23 17:41:29
9,2023-9-23 17:41:34
9,2023-9-23 17:41:39
9,2023-9-23 17:41:44
10,2023-9-23 17:41:49
8,2023-9-23 17:41:54
10,2023-9-23 17:41:59
9,2023-9-23 17:42:04
9,2023-9-23 17:42:09
9,2023-9-23 17:42:14
9,2023-9-23 17:42:19
9,2023-9-23 17:42:24
10,2023-9-23 17:42:29
11,2023-9-23 17:42:36
10,2023-9-23 17:42:41
10,2023-9-23 17:42:46
9,2023-9-23 17:42:51
9,2023-9-23 17:42:56
10,2023-9-23 17:43:01
9,2023-9-23 17:43:06
10,2023-9-23 17:43:11
8,2023-9-23 17:43:16
10,2023-9-23 17:43:21
10,2023-9-23 17:43:45
10,2023-9-23 17:43:50
9,2023-9-23 17:43:55
9,2023-9-23 17:58:56
9,2023-9-23 17:59:00
9,2023-9-23 17:59:05
9,2023-9-23 17:59:10
9,2023-9-23 17:59:15
10,2023-9-23 17:59:20
9,2023-9-23 17:59:25
9,2023-9-23 17:59:30
8,2023-9-23 17:59:35
9,2023-9-23 17:59:40
9,2023-9-23 17:59:45
9,2023-9-23 17:59:50
9,2023-9-23 17:59:55
9,2023-9-23 18:00:00
10,2023-9-23 18:00:05
9,2023-9-23 18:00:10
8,2023-9-23 18:00:15
8,2023-9-23 18:00:20
9,2023-9-23 18:00:25
9,2023-9-23 18:00:30
8,2023-9-23 18:00:35
9,2023-9-23 18:00:40
9,2023-9-23 18:00:45
9,2023-9-23 18:00:50
9,2023-9-23 18:00:55
9,2023-9-23 18:01:00
8,2023-9-23 18:01:05
9,2023-9-23 18:01:10
9,2023-9-23 18:01:15
9,2023-9-23 18:01:20
9,2023-9-23 18:01:25
9,2023-9-23 18:01:30
9,2023-9-23 18:01:35
9,2023-9-23 18:01:40
8,2023-9-23 18:01:45
9,2023-9-23 18:01:50
9,2023-9-23 18:01:55
9,2023-9-23 18:02:00
9,2023-9-23 18:02:05
9,2023-9-23 18:02:10
9,2023-9-23 18:02:15
9,2023-9-23 18:02:20
9,2023-9-23 18:02:25
9,2023-9-23 18:02:30
9,2023-9-23 18:02:36
9,2023-9-23 18:02:41
9,2023-9-23 18:04:44
9,2023-9-23 18:04:55
9,2023-9-23 18:05:00
9,2023-9-23 18:05:05
9,2023-9-23 18:05:15
9,2023-9-23 18:05:20
9,2023-9-23 18:05:25
9,2023-9-23 18:05:30
9,2023-9-23 18:06:26
9,2023-9-23 18:06:31
9,2023-9-23 18:06:36
9,2023-9-23 18:06:41
10,2023-9-23 18:06:46
9,2023-9-23 18:06:51
8,2023-9-23 18:06:56
9,2023-9-23 18:07:02
9,2023-9-23 18:07:07
9,2023-9-23 18:07:12
9,2023-9-23 18:07:17
9,2023-9-23 18:07:22
9,2023-9-23 18:07:27
9,2023-9-23 18:07:32
9,2023-9-23 18:07:37
9,2023-9-23 18:07:42
8,2023-9-23 18:07:47
10,2023-9-23 18:07:52
9,2023-9-23 18:07:57
9,2023-9-23 18:08:02
9,2023-9-23 18:08:07
8,2023-9-23 18:08:12
9,2023-9-23 18:08:17
9,2023-9-23 18:08:22
9,2023-9-23 18:08:27
9,2023-9-23 18:08:32
8,2023-9-23 18:08:37
9,2023-9-23 18:08:42
9,2023-9-23 18:08:47
9,2023-9-23 18:08:52
9,2023-9-23 18:08:57
